1488910700.582592435	15.3149	19.3607	97.4484
1488910704.025088079	14.0171	12.0671	97.4484
1488910710.338804831	13.3482	8.92167	97.4484
1488910717.125674720	13.3383	5.15473	97.4484
1488910722.365115840	13.0264	7.30652	97.4484
1488910727.990187404	12.0907	13.1962	97.4484
1488910732.211894330	10.4979	8.63498	97.4484
1488910738.263644061	10.4224	2.75791	97.4484
1488910742.447380034	11.3744	3.05963	97.4484
1488910748.314972589	11.0665	3.19457	97.4484
1488910752.496332171	11.9505	10.238	97.4484
1488910757.147938045	12.5172	9.15154	97.4484
1488910761.816240791	12.7139	8.51708	97.4484
1488910765.883424875	14.1398	9.36555	97.4484
1488910770.168309317	14.8604	13.8025	97.4484
1488910776.432492188	15.3713	0.956035	97.4484
1488910780.420252724	7.30433	10.1225	97.4484
1488910785.843027561	4.57641	4.28772	97.4484
1488910792.020422247	3.91816	4.55607	97.4484
1488910797.583694187	3.63528	4.03618	97.4484
1488910800.618995216	4.2563	4.88766	97.4484
1488910804.595814812	5.02118	5.32698	97.4484
1488910808.241055133	0.0263815	6.65567	97.4484
1488910813.188473940	0.0284513	7.24637	97.4484
