1489284201,292784268	27,4644	11,6855	6,42777	386
1489284201,319447089	27,6866	7,80195	6,42777	386
1489284201,809986683	28,0591	4,07562	6,42777	386
1489284202,310328182	28,7692	4,19227	6,42777	386
1489284202,808942749	29,5633	4,56583	6,42777	386
1489284203,307941855	30,3514	6,54006	6,42777	386
1489284203,808145358	31,7539	9,73097	6,42777	386
1489284204,308200296	32,1871	9,85099	6,42777	386
1489284204,806791145	31,8955	9,07101	6,42777	386
1489284205,308792014	31,0715	9,26079	6,42777	386
1489284205,807546782	31,5968	9,08287	6,42777	386
1489284206,306764209	31,2856	10,1528	6,42777	386
1489284206,806270042	29,2048	7,16074	6,42777	386
1489284207,306790886	29,691	4,73961	6,42777	386
1489284207,807110723	27,6929	4,61252	6,42777	386
1489284208,307854637	26,0995	5,56439	6,42777	386
1489284208,808337484	24,3561	5,10205	6,42777	386
1489284209,309744694	23,2735	5,02117	6,42777	386
1489284209,807887926	21,1216	9,05539	6,42777	386
1489284210,308497124	22,5015	6,68746	6,42777	386
1489284210,808693200	23,1435	9,04453	6,42777	386
1489284211,308826009	22,9322	9,13278	6,42777	386
1489284211,809978708	22,4867	9,07115	6,42777	386
1489284212,308915267	22,6856	5,61356	6,42777	386
1489284212,808520694	23,9709	7,45696	6,42777	386
1489284213,310418450	24,2496	5,26645	6,42777	386
1489284213,809621308	20,8146	9,45779	6,42777	386
1489284214,308959156	19,8259	9,0408	6,42777	386
1489284214,810859412	19,1797	9,13325	6,42777	386
1489284215,309924410	16,9584	7,79864	6,42777	386
1489284215,810169561	13,6234	9,10725	6,42777	386
1489284216,311664695	10,6279	9,16384	6,42777	386
1489284216,810239324	8,7284	8,34703	6,42777	386
1489284217,311205029	7,02488	9,13531	6,42777	386
1489284217,811215817	7,04921	9,13866	6,42777	386
1489284218,310815468	5,93329	9,06621	6,42777	386
1489284218,809797808	4,30275	9,07719	6,42777	386
1489284219,309881443	3,13468	9,06942	6,42777	386
1489284219,808388425	1,94781	9,14856	6,42777	386
1489284220,307525330	1,77059	9,19376	6,42777	386
1489284220,806908089	1,35623	9,05047	6,42777	386
1489284221,305782228	0,882495	9,11571	6,42777	386
1489284221,805528038	0,702048	9,17474	6,42777	386
1489284222,305651986	0,70979	9,27149	6,42777	386
1489284222,805143151	0,496921	9,26194	6,42777	386
1489284223,303450680	0,257838	9,33967	6,42777	386
1489284223,802116786	0,261145	9,24505	6,42777	386
1489284224,301790076	0,265755	9,0851	6,42777	386
1489284224,801762184	0,735615	9,08303	6,42777	386
1489284225,299872294	0,727518	9,22165	6,42777	386
1489284225,800512504	0,0200105	9,09986	6,42777	386
1489284226,299562463	0,0214571	9,12665	6,42777	386
1489284226,797944682	0,0219354	9,26786	6,42777	386
1489284227,298199929	0,0234708	9,25642	6,42777	386
1489284227,797669331	0,022771	9,18281	6,42777	386
1489284228,296962456	0,0239025	8,90395	6,42777	386
1489284228,797428470	0,0129154	8,78427	6,42777	386
1489284229,807712206	27,2818	9,89979	6,42777	386
